"","ensembl_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"137","ENSG00000006606.9",46.8829838858482,-2.10489849335654,0.533073048254879,-3.94861173388403,7.86057248382719e-05,0.0148894769900445,"CCL26"
"279","ENSG00000011426.11",8907.92687609732,-0.835268754787231,0.243253475183861,-3.43373821959132,0.000595318834682479,0.0484943553929457,"ANLN"
"344","ENSG00000016402.14",60.8884382966084,1.49916374538109,0.344848787923817,4.34730756749036,1.37818894740363e-05,0.00449905383404552,"IL20RA"
"764","ENSG00000060642.12",489.230569298977,0.897813818143988,0.212952668749059,4.2160252013651,2.48645985896202e-05,0.0069363188392826,"PIGV"
"818","ENSG00000064195.7",275.768517535306,-1.25374910296171,0.2642541441532,-4.74448227474101,2.09040281582218e-06,0.00128292201612639,"DLX3"
"918","ENSG00000066468.24",411.707351188569,1.0232236982372,0.279878455094676,3.65595736153064,0.000256223943902181,0.0300094959640547,"FGFR2"
"935","ENSG00000067064.13",1882.10943872347,-2.08441532717511,0.465367147556285,-4.47907708595396,7.49664596095391e-06,0.0032763219288018,"IDI1"
"945","ENSG00000067221.14",174.941550506553,1.37474914814255,0.362943965368746,3.78777243684386,0.000152003971532238,0.0213963021579737,"STOML1"
"1044","ENSG00000070495.15",1929.5623727842,-1.11324935108363,0.30547477014029,-3.64432503074596,0.000268094444563957,0.0304694300958873,"JMJD6"
"1373","ENSG00000079841.20",11.5429546074472,3.62609618135242,1.02631098424912,3.53313589838014,0.000410661317838111,0.0388936827135194,"RIMS1"
"1411","ENSG00000081041.9",48.8992236580035,2.13989859986989,0.437368978823532,4.89266203932879,9.94811506274303e-07,0.000803336470566665,"CXCL2"
"1456","ENSG00000082482.14",65.1266755840043,1.60824009221105,0.462131093139274,3.48005169114723,0.000501317048989176,0.0437028834240962,"KCNK2"
"1551","ENSG00000085840.13",1041.80451861615,-1.08071104560801,0.315083544651013,-3.42991902926891,0.000603761390336265,0.0485000576540802,"ORC1"
"1885","ENSG00000095752.7",170.186984223167,-1.59389410885408,0.339828027066721,-4.69029621427059,2.72809817039415e-06,0.00149490036529848,"IL11"
"2046","ENSG00000100211.12",350.239110462587,0.859730330999377,0.234485201611922,3.66645880033935,0.000245932520230825,0.0294183237961675,"CBY1"
"2074","ENSG00000100292.18",233.465924043011,-1.41739437562331,0.378597408108394,-3.74380369560666,0.000181255283891418,0.024394735269702,"HMOX1"
"2279","ENSG00000101255.12",8102.77426952292,1.86483266257271,0.489920801956029,3.80639616674222,0.000141006451469165,0.0202235728959316,"TRIB3"
"2356","ENSG00000101751.11",223.307715393932,1.01130096989266,0.272587967720212,3.70999856798769,0.000207260419682786,0.0267226606654872,"POLI"
"2576","ENSG00000103351.13",632.084816511764,0.994099118383783,0.259063773143797,3.83727568822213,0.000124406782735574,0.0191076869968502,"CLUAP1"
"2693","ENSG00000104549.12",4887.45403560369,-1.88294975002383,0.467557312514654,-4.02720629027658,5.64435080140425e-05,0.0115468365794594,"SQLE"
"2740","ENSG00000104888.10",40.6953126993681,-2.84458041295705,0.832350796256396,-3.41752591065079,0.000631930786123929,0.04972161052051,"SLC17A7"
"2857","ENSG00000105550.10",200.431859331618,2.7915928103446,0.545650188788999,5.11608511772017,3.11942333648889e-07,0.000284602017832031,"FGF21"
"2944","ENSG00000105967.16",22.9349346216436,-3.49857875197841,0.946428599856962,-3.69661140048723,0.000218496404553202,0.0274786093037686,"TFEC"
"3014","ENSG00000106366.9",4902.73245019,-1.10962813460458,0.310385485661439,-3.57500007527714,0.000350227795352471,0.0355863911529335,"SERPINE1"
"3463","ENSG00000110455.14",228.435710089844,1.22495949669047,0.352661265251244,3.47347332238992,0.000513768435215032,0.0442851073118215,"ACCS"
"3475","ENSG00000110693.19",147.137964429468,2.17278064247715,0.496035614191555,4.38029161679929,1.18520587420834e-05,0.00420146740483757,"SOX6"
"3769","ENSG00000112972.15",2178.40308279266,-2.11531080445527,0.380370800923225,-5.56118082492411,2.67955378250228e-08,4.11123936849324e-05,"HMGCS1"
"3785","ENSG00000113161.17",2923.44503927485,-1.76582467432896,0.400404807376833,-4.41009858472325,1.03323569751744e-05,0.00404901515866485,"HMGCR"
"3810","ENSG00000113369.9",494.412647421479,0.98651520454619,0.28652799993589,3.44299755963439,0.000575304505202217,0.0477129568827979,"ARRDC3"
"3831","ENSG00000113578.18",31.8651137966645,2.07768942320674,0.583137823903583,3.56294745091045,0.000366714108565432,0.0362148658418613,"FGF1"
"3839","ENSG00000113615.13",1187.25277670482,-1.00409179231973,0.251902669930863,-3.98603076575295,6.71878038188385e-05,0.0133878243375641,"SEC24A"
"3976","ENSG00000115008.6",1268.55916394051,1.13881114783797,0.331881864610752,3.43137504417008,0.000600529722000892,0.0484943553929457,"IL1A"
