"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Proteoglycans in cancer","36/205",2.55574372966173e-06,0.000528758108105564,0,0,2.59063011456628,33.359977368508,"CDKN1A;SDC4;SDC2;PXN;CAMK2A;TWIST1;CBL;ACTG1;SLC9A1;WNT6;WNT11;RRAS;PLAU;GPC1;TIMP3;FLNB;FLNC;EIF4B;WNT4;MAPK3;PRKCG;WNT10A;TGFB1;FZD5;WNT7B;PTCH1;MMP2;FN1;PLAUR;WNT7A;WNT9A;HSPG2;COL1A1;TIAM1;EZR;PPP1R12B"
"2","Pathways in cancer","71/531",3.43349420847769e-06,0.000528758108105564,0,0,1.89125995205256,23.7957042919597,"CDKN1A;CSF3R;SLC2A1;LAMC2;LAMC1;ETS1;RASSF5;PIM1;RAC2;BDKRB2;BDKRB1;JAK3;IL6R;PRKCG;PDGFRB;DAPK1;PLEKHG5;NCOA3;MMP2;DAPK3;ARNT;TRAF2;WNT9A;PGF;CCNA1;COL4A1;TRAF6;ITGA6;BIRC7;PPARD;LAMA5;NOTCH1;CAMK2A;RASGRP2;CBL;FOXO1;RELA;HSP90B1;PLD2;WNT6;BCL2L11;RXRA;WNT11;HMOX1;BAK1;RALGDS;WNT4;MAPK3;STAT5A;STAT5B;GSTM2;WNT10A;SMAD3;TGFB1;FZD5;JUP;GADD45B;LAMB3;LAMB2;WNT7B;PTCH1;FN1;WNT7A;VEGFC;PML;NFKBIA;SP1;FGF19;CDK2;FGFR4;FGFR3"
"3","Steroid biosynthesis","9/20",7.15016222771837e-06,0.00055745671782448,0,0,9.85933139362271,116.81706065209,"CYP27B1;SQLE;EBP;CYP24A1;CYP51A1;SC5D;MSMO1;CEL;DHCR7"
"4","MAPK signaling pathway","45/294",7.23969763408415e-06,0.00055745671782448,0,0,2.20143450054398,26.056027104135,"RASGRF1;HSPB1;ECSIT;RASGRP2;RELA;CACNA1H;CACNA1G;CACNG6;DUSP10;RRAS;MKNK2;RAC2;FLNB;MAP3K8;FLNC;MAPK3;PRKCG;MAP2K3;PDGFRB;NGFR;DUSP5;MAP3K3;JUND;DUSP3;TGFB1;GADD45B;VEGFC;TRAF2;MAPK8IP2;MAPK8IP3;DUSP9;PGF;DUSP7;CDC25B;NR4A1;CACNB3;EFNA3;EFNA2;FGF19;TRAF6;MAPKAPK2;FGFR4;FGFR3;MAP3K14;MAP3K12"
"5","ECM-receptor interaction","19/88",3.26334624118683e-05,0.00201022128457109,0,0,3.32951242984688,34.3944372140969,"LAMA5;VWF;SDC4;LAMB3;LAMB2;FN1;LAMC2;LAMC1;HSPG2;COL1A1;COL4A1;COL6A2;COL6A1;DAG1;ITGA7;ITGA6;COL9A3;ITGB6;AGRN"
"6","Focal adhesion","32/201",6.74979049608022e-05,0.00346489245465451,0,0,2.29667414813303,22.0559126634509,"LAMA5;SHC1;PXN;RASGRF1;LAMC2;LAMC1;ACTG1;RAC2;PAK6;FLNB;FLNC;ITGB6;PAK4;MAPK3;PRKCG;PDGFRB;VWF;LAMB3;LAMB2;FN1;VEGFC;PGF;BUB1B-PAK6;COL1A1;COL4A1;COL6A2;COL6A1;ITGA7;COL9A3;ITGA6;PPP1R12B;VCL"
"7","Lysosome","23/128",0.000109729558835568,0.00482810058876498,0,0,2.65037511378975,24.1647733017659,"CTSA;ABCA2;FUCA1;GAA;LAPTM5;ABCB9;CTSV;TCIRG1;LITAF;PLA2G15;GALNS;GM2A;HYAL1;CTSK;SMPD1;PSAP;CTSH;IDS;MAN2B1;TPP1;GUSB;CTSD;CTSB"
"8","Small cell lung cancer","18/92",0.000198696976593997,0.00764983359886887,0,0,2.93841673473737,25.0462697708777,"LAMA5;CDKN1A;GADD45B;LAMB3;LAMB2;FN1;LAMC2;TRAF2;LAMC1;RELA;NFKBIA;RXRA;COL4A1;TRAF6;CDK2;ITGA6;BIRC7;BAK1"
"9","Complement and coagulation cascades","17/85",0.000224571174637627,0.00768532464315433,0,0,3.01904136572554,25.3639261603785,"VWF;C1S;PROS1;SERPINE1;PLAUR;CLU;SERPINA5;C3;THBD;PROCR;PLAU;BDKRB2;ITGAX;BDKRB1;CD59;CD46;CD55"
"10","PI3K-Akt signaling pathway","46/354",0.000332541789996206,0.0102422871318832,0,0,1.81460039291365,14.5326718628804,"LAMA5;CDKN1A;PHLPP1;CSF3R;LAMC2;LAMC1;FOXO3;RELA;HSP90B1;RXRA;BCL2L11;CREB3L3;CREB3L1;MYB;ITGB6;JAK3;IL6R;EIF4B;MCL1;MAPK3;PDGFRB;NGFR;VWF;LAMB3;LAMB2;FN1;VEGFC;TSC1;PPP2R5D;PGF;COL1A1;NR4A1;EFNA3;EFNA2;COL4A1;FGF19;COL6A2;CDK2;COL6A1;ITGA7;COL9A3;SGK3;ITGA6;SGK1;FGFR4;FGFR3"
